Name,Hex (RGB)
しゅいろ,#eb6101
ふかがわねずみ,#97a791
こんききょう,#4d5aaf
はいあお,#c0c6c9
しゃれがき,#f7bd8f
こむぎいろ,#e49e61
わかみどり,#98d98e
はないろ,#4d5aaf
ぎんねず,#afafb0
あかこう,#f6b894
にいろ,#e45e32
あさみどり,#88cb7f
こんあい,#4a488e
うすにび,#adadad
とのこいろ,#f4dda5
きちゃ,#e17b34
うすみどり,#69b076
べにききょう,#4d4398
うすずみいろ,#a3a3a2
にくいろ,#f1bf99
にっけいいろ,#dd7a56
あおにび,#6b7b6e
ききょういろ,#5654a2
すずいろ,#9ea1a3
ひといろ,#f1bf99
あかくちばいろ,#db8449
せいじねず,#bed2c3
ふじなんど,#706caa
すねずみ,#9fa0a0
ちょうじいろ,#efcd9a
こうろぜん,#d66a35
うすあお,#93b69c
べにかけはないろ,#68699b
ねずみいろ,#949495
こういろ,#efcd9a
たんぽぽいろ,#ffd900
さびせいじ,#a6c8b2
しおんいろ,#867ba9
げんじねず,#888084
うすこう,#f0cfa0
きいろ,#ffd900
ろくしょういろ,#47885e
しらふじいろ,#dbd0e6
はいいろ,#7d7d7d
うすき,#edd3a1
ちゅうき,#ffea00
ちとせみどり,#316745
ふじむらさき,#a59aca
なまりいろ,#7b7c7d
かれいろ,#e0c38c
なのはないろ,#ffec47
わかたけいろ,#68be8d
すみれいろ,#7058a3
にびいろ,#727171
うすこう,#f3bf88
きはだいろ,#fef263
みどり,#3eb370
あおむらさき,#674598
すみ,#595857
あんずいろ,#f7b977
たまごいろ,#fcd575
ときわいろ,#007b43
しょうぶいろ,#674196
どぶねずみ,#595455
しののめいろ,#f19072
はなばいろ,#fbd26b
ちぐさねず,#bed3ca
りんどういろ,#9079ad
けしずみいろ,#524e4d
あけぼのいろ,#f19072
かりやすいろ,#f5e56b
ちぐさいろ,#92b5a9
えどむらさき,#745399
あいすみちゃ,#474a4d
さんごしゅいろ,#ee836f
とうもろこしいろ,#eec362
せいじいろ,#7ebea5
ほんむらさき,#65318e
ようかんいろ,#383c3c
こきくちなし,#eb9b6f
かなりあいろ,#ebd842
あおたけいろ,#7ebeab
ぶどういろ,#522f60
ろういろ,#2b2b2b
そひ,#e0815e
きくちなしいろ,#ffdb4f
ときわみどり,#028760
ふかむらさき,#493759
くろ,#2b2b2b
うすきひ,#df7163
くちなしいろ,#fbca4d
とくさいろ,#3b7960
しこく,#2e2930
からすばいろ,#180614
まそほ,#d57c6b
ひまわりいろ,#fcc800
びろうど,#2f5d50
むらさき,#884898
てつぐろ,#281a14
あらいしゅ,#d0826c
やまぶきいろ,#f8b500
むしあお,#3a5b52
うすぶどう,#c0a2c7
ぬればいろ,#000b00
えんしゅうちゃ,#ca8269
うこんいろ,#fabf14
かわいろ,#475950
しこん,#460e44
こくたん,#250d00
べにかばいろ,#bb5548
とうおう,#f7c114
ふかみどり,#00552e
あんこうしょく,#74325c
けんぽうくろちゃ,#241a08
そほ,#ab6953
こんじき,#e6b422
てついろ,#005243
くわのみいろ,#55295b
あんこくしょく,#16160e
コーラルレッド,#ef857d
サンシャインイエロー,#ffedab
アイスグリーン,#a3d6cc
ウイスタリア,#8d93c8
ピンクアーモンド,#e3acae
ポピーレッド,#ea5550
クリームイエロー,#fff3b8
ターコイズグリーン,#00947a
ブルーラベンダー,#a4a8d4
ローズダスト,#e6c0c0
レッド,#ea5550
ネープルスイエロー,#fdd35c
シーグリーン,#00ac97
パンジー,#4d4398
ホワイト,#ffffff
トマトレッド,#ea5549
トパーズ,#e9bc00
ペパーミントグリーン,#00ac9a
バイオレット,#5a4498
スノーホワイト,#fafdff
バーミリオン,#ea553a
クロムイエロー,#fcc800
ピーコックグリーン,#00a497
ヘリオトロープ,#9079b6
ピンクホワイト,#fef9fb
スカーレット,#ea5532
クリーム,#e3d7a3
ナイルブルー,#2cb4ad
ディープロイヤルパープル,#47266e
ミルキーホワイト,#fffff9
キャロットオレンジ,#ed6d35
ストロー,#ece093
サックスブルー,#418b89
グレープ,#56256e
アンバーホワイト,#fff9f5
チャイニーズレッド,#ed6d46
ジャスミンイエロー,#edde7b
スレートグリーン,#3c7170
モーブ,#915da3
ラベンダーアイス,#f7f6fb
テラコッタ,#bd6856
アンティックゴールド,#c1ab05
テールグリーン,#006a6c
アイリス,#c7a5cc
パールホワイト,#f7f6f5
ココアブラウン,#98605e
オリーブ,#72640c
アクアグリーン,#88bfbf
ライラック,#d1bada
アイボリー,#f8f4e6
マホガニー,#6b3f31
オリーブドラブ,#665a1a
アクアマリン,#67b5b7
ラベンダー,#cab8d9
パウダーピンク,#f5ecf4
チョコレート,#6c3524
ジョンブリアン,#ffdc00
ピーコックブルー,#009e9f
クロッカス,#b79fcb
シルバーホワイト,#efefef
マルーン,#6a1917
イエロー,#ffdc00
ターコイズ,#009b9f
ラベンダーモーブ,#a688bd
フロスティグレイ,#e8ece9
セピア,#622d18
シトラス,#eddc44
カプリブルー,#00a3a7
パープル,#9b72b0
シルバーピンク,#eeeaec
コーヒー色,#7b5544
ライムライト,#fff799
ケンブリッジブルー,#25b7c0
ロイヤルパープル,#7f1184
ベージュカメオ,#eee9e6
ブラウン,#8f6552
カナリヤ,#fff462
ターコイズブルー,#00afcc
レーズン,#6b395f
エクリュ,#eee7e0
バーントシェンナ,#bb5535
ミモザ,#fff462
ホライズンブルー,#82cddd
プラム,#6c2463
ピンクベージュ,#ede4e1
アンバーローズ,#e6bfb2
レモンイエロー,#fff352
サマーシャワー,#a1d8e2
ラズベリー,#841a75
フロスティホワイト,#e6eae6
ベージュローゼ,#e8d3ca
メロンイエロー,#e0de94
ホリゾンブルー,#a1d8e6
フランボワーズ,#9a0d7c
オイスターホワイト,#eae8e1
サーモンピンク,#f3a68c
シャルトルーズイエロー,#e3e548
セルリアンブルー,#008db7
ダリアパープル,#a50082
ウィステリアミスト,#d3d6dd
サハラ,#e29676
ライムイエロー,#eaeea2
ダックブルー,#007199
オーキッドパープル,#af0082
クラウド,#d4d9df
アッシュローズ,#e6bfab
ライムグリーン,#e6eb94
マリンブルー,#006888
ラズベリーレッド,#9f166a
ムーングレイ,#d4d9dc
シェルピンク,#fbdac8
シャトルーズグリーン,#d9e367
マドンナブルー,#00608d
オーキッド,#d9aacd
チャイナクレイ,#d4dcd3
ベビーピンク,#fdede4
レタスグリーン,#d1de4c
エジプシャンブルー,#0073a8
リラ,#e0b5d3
サンドベージュ,#dcd6d2
ネールピンク,#fce4d6
オリーブグリーン,#5f6527
ベビーブルー,#bbe2f1
ローズタンドル,#e6afcf
オーキッドミスト,#d3d3d8
ローシェンナ,#e17b34
モスグリーン,#777e41
スカイブルー,#a0d8ef
オーキッドピンク,#da81b2
リードグレイ,#d4d9d6
キャラメル,#bc611e
グラスグリーン,#7b8d42
シャドウブルー,#719bad
シクラメンピンク,#d04f97
スカイグレイ,#cbd0d3
サンセット,#f6b483
スプリンググリーン,#9cbb1c
シアン,#00a1e9
マゼンタ,#e4007f
ラベンダーグレイ,#bcbace
シナモン,#be8f68
リーフグリーン,#9fc24d
ヨットブルー,#409ecc
ブーゲンビリア,#e62f8b
シルバー,#c9caca
タン,#bf783e
ホワイトリリー,#f0f6da
チョークブルー,#68a9cf
ルビー,#c70067
パールグレイ,#c9c9c4
シャンパン,#e9dacb
アスパラガスグリーン,#dbebc4
ピジョンブルー,#88b5d3
クラレット,#941f57
サンドグレイ,#c9c9c2
ピーチ,#fbd8b5
シトロングリーン,#618e34
スモークブルー,#a4c1d7
アザレ,#d83473
マーブルグレイ,#c0c5c2
カフェオレ,#946c45
メドウグリーン,#65ab31
フロスティブルー,#bbdbf3
コスモス,#dc6b9a
オパールグレイ,#bfbec5
オレンジ,#ee7800
アップルグリーン,#a7d28d
ブルーアシード,#006eb0
ロータスピンク,#de82a7
フレンチグレイ,#8da0b6
アプリコット,#f7b977
アイビーグリーン,#578a3d
コバルトブルー,#0068b7
オールドオーキッド,#e3adc1
ミスト,#b4aeb1
アンバー,#c2894b
スピナッチグリーン,#417038
サファイアブルー,#0068b7
ローズミスト,#debecc
アッシュブロンド,#b5b5ae
ブロンズ,#ac6b25
カクタス,#387d39
スペクトラムブルー,#0075c2
ローズドラジェ,#e5c1cd
フォッグ,#abb1b5
ヴァニラ,#e8c59c
スカイグリーン,#bee0c2
ブルー,#0075c2
チェリーピンク,#eb6ea0
ベージュグレイ,#b4ada9
コルク,#c49a6a
スペアミント,#79c06e
ゼニスブルー,#4496d3
オペラ,#e95388
シルバーグレイ,#afafb0
バーントアンバー,#6f5436
ミントグリーン,#89c997
ヘブンリーブルー,#68a4d9
ローズレッド,#ea618e
ストームグレイ,#aaaab0
ローアンバー,#866629
パロットグリーン,#37a34a
オーキッドグレイ,#bcc7d7
オールドライラック,#b0778c
グリーンフォッグ,#abb1ad
フレッシュ,#fad09e
サマーグリーン,#009944
パウダーブルー,#bccddb
ココア色,#6e4a55
アッシュグレイ,#9fa09e
ゴールデンイエロー,#f6ae54
オパールグリーン,#bee0ce
ライトブルー,#b2cbe4
ワインレッド,#b33e5c
ローズグレイ,#9d8e87
マンダリンオレンジ,#f3981d
スプレイグリーン,#a4d5bd
ベイビーブルー,#a2c2e6
ガーネット,#942343
エレファントスキン,#9f9f98
マリーゴールド,#f39800
ボトルグリーン,#004d25
デイドリーム,#a3b9e0
コチニールレッド,#c82c55
バトルシップグレイ,#898989
エクルベージュ,#f6e5cc
コバルトグリーン,#3cb37a
サルビアブルー,#94adda
ストロベリー,#e73562
ストーングレイ,#898880
オイスター,#eae1cf
エバーグリーン,#00984f
ヒヤシンスブルー,#7a99cf
ルビーレッド,#e73562
モスグレイ,#7e837f
オーカー,#ba8b40
マラカイトグリーン,#009854
ヒヤシンス,#6c9bd2
カーマイン,#d70035
ダブグレイ,#7d7b83
カーキー,#c5a05a
グリーン,#00a960
ミッドナイトブルー,#001e43
シグナルレッド,#e8383d
グレイ,#7d7d7d
バフ,#caac71
エメラルドグリーン,#00a968
ネービーブルー,#202f55
バーガンディー,#6c2735
スチールグレイ,#736d71
サフランイエロー,#fac559
フォレストグリーン,#288c66
プルシャンブルー,#192f60
ボルドー,#6c272d
アイビーグレイ,#666c67
パンプキン,#e5a323
ビリジアン,#00885a
アイアンブルー,#192f60
カメリア,#da536e
スレートグレイ,#626063
イエローオーカー,#c4972f
ホーリーグリーン,#006948
インディゴ,#043c78
ローズ,#e95464
グラファイト,#594e52
ブロンド,#f2d58a
ビリヤードグリーン,#005c42
インクブルー,#003f8e
ローズピンク,#f19ca7
チャコールグレイ,#4e454a
ベージュ,#eedcb3
クロムグリーン,#00533f
オリエンタルブルー,#26499d
ピンク,#f5b2b2
トープ,#504946
ビスケット,#ead7a4
アンティークグリーン,#54917f
ウルトラマリンブルー,#4753a2
フラミンゴピンク,#f5b2ac
ランプブラック,#24140e
レグホーン,#ffe9a9
ウォーターグリーン,#a5c9c1
ウルトラマリン,#434da2
オールドローズ,#e29399
ブラック,#000000
coral red,#ef857d
sunshine yellow,#ffedab
ice green,#a3d6cc
wistaria,#8d93c8
pink almond,#e3acae
poppy red,#ea5550
cream yellow,#fff3b8
turquoise green,#00947a
blue lavender,#a4a8d4
rose dust,#e6c0c0
red,#ea5550
naples yellow,#fdd35c
sea green,#00ac97
pannsy,#4d4398
white,#ffffff
tomato red,#ea5549
topaz,#e9bc00
peppermint green,#00ac9a
violet,#5a4498
snow white,#fafdff
vermilion,#ea553a
chrome yellow,#fcc800
peacock green,#00a497
heliotrope,#9079b6
pink white,#fef9fb
scarlet,#ea5532
cream,#e3d7a3
nile blue,#2cb4ad
deep royal purple,#47266e
milky white,#fffff9
carrot orange,#ed6d35
straw,#ece093
saxe blue,#418b89
grape,#56256e
amber white,#fff9f5
chinese red,#ed6d46
jasmine yellow,#edde7b
slate green,#3c7170
mauve,#915da3
lavender ice,#f7f6fb
terracotta,#bd6856
antique gold,#c1ab05
teal green,#006a6c
iris,#c7a5cc
pearl white,#f7f6f5
cocoa brown,#98605e
olive,#72640c
aqua green,#88bfbf
lilac,#d1bada
ivory,#f8f4e6
mahogany,#6b3f31
olive drab,#665a1a
aquamarine,#67b5b7
lavender,#cab8d9
powder pink,#f5ecf4
chocolate,#6c3524
jaune brillant,#ffdc00
peacock blue,#009e9f
crocus,#b79fcb
silver white,#efefef
marron,#6a1917
yellow,#ffdc00
turquoise,#009b9f
lavender mauve,#a688bd
frosty gray,#e8ece9
sepia,#622d18
citrus,#eddc44
capri blue,#00a3a7
purple,#9b72b0
silver pink,#eeeaec
coffee,#7b5544
limelight,#fff799
cambridge blue,#25b7c0
royal purple,#7f1184
beige cameo,#eee9e6
brown,#8f6552
canary yellow,#fff462
turquoise blue,#00afcc
raisin,#6b395f
ecru,#eee7e0
burnt sienna,#bb5535
mimosa,#fff462
horizon blue,#82cddd
plum,#6c2463
pink beige,#ede4e1
amber rose,#e6bfb2
lemon yellow,#fff352
summer shower,#a1d8e2
raspberry,#841a75
frosty white,#e6eae6
beige rose,#e8d3ca
melon yellow,#e0de94
horizon blue,#a1d8e6
framboise,#9a0d7c
oyster white,#eae8e1
salmon pink,#f3a68c
chartreuse yellow,#e3e548
cerulean blue,#008db7
dahlia purple,#a50082
wisteria mist,#d3d6dd
sahara,#e29676
lime yellow,#eaeea2
duck blue,#007199
orchid purple,#af0082
cloud,#d4d9df
ash rose,#e6bfab
lime green,#e6eb94
marine blue,#006888
raspberry red,#9f166a
moon gray,#d4d9dc
shell pink,#fbdac8
chartreuse green,#d9e367
madonna blue,#00608d
orchid,#d9aacd
china clay,#d4dcd3
baby pink,#fdede4
lettuce green,#d1de4c
egyptian blue,#0073a8
lilla,#e0b5d3
sand beige,#dcd6d2
nail pink,#fce4d6
olive green,#5f6527
baby blue,#bbe2f1
rose tendre,#e6afcf
orchid mist,#d3d3d8
raw sienna,#e17b34
moss green,#777e41
sky blue,#a0d8ef
orchid pink,#da81b2
reed gray,#d4d9d6
caramel,#bc611e
grass green,#7b8d42
shadow blue,#719bad
cyclamen pink,#d04f97
sky gray,#cbd0d3
sunset,#f6b483
spring green,#9cbb1c
cyan,#00a1e9
magenta,#e4007f
lavender gray,#bcbace
cinnamon,#be8f68
leaf green,#9fc24d
yacht blue,#409ecc
bougainvillaea,#e62f8b
silver,#c9caca
tan,#bf783e
white lily,#f0f6da
chalk blue,#68a9cf
ruby,#c70067
pearl gray,#c9c9c4
champagne,#e9dacb
asparagus green,#dbebc4
pigeon blue,#88b5d3
claret,#941f57
sand gray,#c9c9c2
peach,#fbd8b5
citron green,#618e34
smoke blue,#a4c1d7
azalee,#d83473
marble gray,#c0c5c2
cafe au lait,#946c45
meadow green,#65ab31
frosty blue,#bbdbf3
cosmos,#dc6b9a
opal gray,#bfbec5
orange,#ee7800
apple green,#a7d28d
bleu acide,#006eb0
lotus pink,#de82a7
french gray,#8da0b6
apricot,#f7b977
ivy green,#578a3d
cobalt blue,#0068b7
old orchid,#e3adc1
mist,#b4aeb1
amber,#c2894b
spinach green,#417038
sapphire blue,#0068b7
rose mist,#debecc
ash blond,#b5b5ae
bronze,#ac6b25
cactus,#387d39
spectrum blue,#0075c2
rose dragee,#e5c1cd
fog,#abb1b5
vanilla,#e8c59c
sky green,#bee0c2
blue,#0075c2
cherry pink,#eb6ea0
beige gray,#b4ada9
cork,#c49a6a
spearmint,#79c06e
zenith blue,#4496d3
opera,#e95388
silver gray,#afafb0
burnt umber,#6f5436
mint green,#89c997
heavenly blue,#68a4d9
rose red,#ea618e
storm gray,#aaaab0
raw umber,#866629
parrot green,#37a34a
orchid gray,#bcc7d7
old lilac,#b0778c
green fog,#abb1ad
flesh,#fad09e
summer green,#009944
powder blue,#bccddb
cocoa,#6e4a55
ash gray,#9fa09e
golden yellow,#f6ae54
opal green,#bee0ce
light blue,#b2cbe4
wine red,#b33e5c
rose gray,#9d8e87
mandarin orange,#f3981d
spray green,#a4d5bd
baby blue,#a2c2e6
garnet,#942343
elephant skin,#9f9f98
marigold,#f39800
bottle green,#004d25
day dream,#a3b9e0
cochineal red,#c82c55
battleship gray,#898989
ecru beige,#f6e5cc
cobalt green,#3cb37a
salvia blue,#94adda
strawberry,#e73562
stone gray,#898880
oyster,#eae1cf
evergreen,#00984f
hyacinth blue,#7a99cf
ruby red,#e73562
moss gray,#7e837f
ochre,#ba8b40
malachite green,#009854
hyacinth,#6c9bd2
carmine,#d70035
dove gray,#7d7b83
khaki,#c5a05a
green,#00a960
midnight blue,#001e43
signal red,#e8383d
gray,#7d7d7d
buff,#caac71
emerald green,#00a968
navy blue,#202f55
burgundy,#6c2735
steel gray,#736d71
saffron yellow,#fac559
forest green,#288c66
prussian blue,#192f60
bordeaux,#6c272d
ivy gray,#666c67
pumpkin,#e5a323
viridian,#00885a
iron blue,#192f60
camellia,#da536e
slate gray,#626063
yellow ocher,#c4972f
holly green,#006948
indigo,#043c78
rose,#e95464
graphite,#594e52
blond,#f2d58a
billiard green,#005c42
ink blue,#003f8e
rose pink,#f19ca7
charcoal gray,#4e454a
beige,#eedcb3
chrome green,#00533f
oriental blue,#26499d
pink,#f5b2b2
taupe,#504946
biscuit,#ead7a4
antique green,#54917f
ultramarine blue,#4753a2
flamingo pink,#f5b2ac
lamp black,#24140e
leghorn,#ffe9a9
water green,#a5c9c1
ultramarine,#434da2
old rose,#e29399
black,#000000
銀座線オレンジ(2014),#ff9500
丸ノ内線レッド(2014),#f62e36
日比谷線シルバー(2014),#b5b5ac
東西線スカイ(2014),#009bbf
千代田線グリーン(2014),#00bb85
有楽町線ゴールド(2014),#c1a470
半蔵門線パープル(2014),#8f76d6
南北線エメラルド(2014),#00ac9b
副都心線ブラウン(2014),#9c5e31
銀座線オレンジ,#f39700
丸の内線レッド,#e60012
日比谷線シルバー,#9caeb7
東西線スカイ,#00a7db
千代田線グリーン,#009944
有楽町線ゴールド,#d7c447
半蔵門線パープル,#9b7cb6
南北線エメラルド,#00ada9
副都心線ブラウン,#bb641d
浅草線ローズ,#e85298
三田線ブルー,#0079c2
新宿線リーフ,#6cbb5a
大江戸線ルビー,#b6007a
御堂筋線 臙脂,#e5171f
谷町線 京紫,#522886
四つ橋線 縹,#0078ba
中央線 緑,#019a66
千日前線 紅梅,#e44d93
堺筋線 マルーン,#814721
長堀鶴見緑地線 萌黄,#a9cc51
今里筋線 柑子,#ee7b1a
南港ポートタウン線 セルリアンブルー,#00a0de
Ginza Line Orange,#ff9500
Marunouchi Line Red,#f62e36
Hibiya Line Silver,#b5b5ac
Tozai Line Sky,#009bbf
Chiyoda Line Green,#00bb85
Yurakucho Line Gold,#c1a470
Hanzomon Line Purple,#8f76d6
Namboku Line Emerald,#00ac9b
Fukutoshin Line Brown,#9c5e31
Ginza Line Orange,#f39700
Marunouchi Line Red,#e60012
Hibiya Line Silver,#9caeb7
Tozai Line Sky,#00a7db
Chiyoda Line Green,#009944
Yurakucho Line Gold,#d7c447
Hanzomon Line Purple,#9b7cb6
Namboku Line Emerald,#00ada9
Fukutoshin Line Brown,#bb641d
Asakusa Line Rose,#e85298
Mita Line Blue,#0079c2
Shinjuku Line Leaf,#6cbb5a
Oedo Line Ruby,#b6007a
Midosuji Line Red,#e5171f
Tanimachi Line Purple,#522886
Yotsubashi Line Blue,#0078ba
Chuo Line Green,#019a66
Sennichimae Line Pink,#e44d93
Sakaisuji Line Marron,#814721
Nagahoritsurumiryokuchi Line Yellow Green,#a9cc51
Imazatosuji Line Orange,#ee7b1a
Nanko port town Line Cerulean Blue,#00a0de
